Title,Price,Availability,Rating,Price_Category
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,In stock,2,Medium
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,In stock,5,High
Without Shame,48.27,In stock,5,High
Watchmen,58.05,In stock,4,High
Unlimited Intuition Now,58.87,In stock,4,High
Underlying Notes,11.82,In stock,2,Low
The Shack,28.03,In stock,1,Medium
The New Brand You: Your New Image Makes the Sale for You,44.05,In stock,5,High
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,In stock,4,Low
The Flowers Lied,16.68,In stock,2,Low
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,In stock,1,High
The Book of Mormon,24.57,In stock,3,Medium
The Art and Science of Low Carbohydrate Living,52.98,In stock,5,High
The Alien Club,54.4,In stock,1,High
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,In stock,5,High
Nap-a-Roo,25.08,In stock,1,Medium
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,In stock,4,Low
Modern Day Fables,47.44,In stock,2,High
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,In stock,1,Medium
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,In stock,4,Medium
Dress Your Family in Corduroy and Denim,43.68,In stock,3,High
Don't Forget Steven,33.23,In stock,1,Medium
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,In stock,2,Medium
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,In stock,4,High
A Shard of Ice (The Black Symphony Saga #1),56.63,In stock,3,High
A Hero's Curse (The Unseen Chronicles #1),50.49,In stock,3,High
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,In stock,2,Medium
"Zero to One: Notes on Startups, or How to Build the Future",34.06,In stock,3,Medium
Why Not Me?,17.76,In stock,1,Low
When Breath Becomes Air,39.36,In stock,2,Medium
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,In stock,2,Medium
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,In stock,5,High
The New Drawing on the Right Side of the Brain,43.02,In stock,3,High
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,In stock,4,Medium
The Martian (The Martian #1),41.39,In stock,2,High
The High Mountains of Portugal,51.15,In stock,1,High
The Grownup,35.88,In stock,1,Medium
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,In stock,1,Medium
South of Sunshine,28.93,In stock,1,Medium
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,In stock,5,Medium
Silence in the Dark (Logan Point #4),58.33,In stock,3,High
Shadows of the Past (Logan Point #1),39.67,In stock,5,Medium
Roller Girl,14.1,In stock,5,Low
Rising Strong,21.82,In stock,3,Medium
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,In stock,1,High
Please Kill Me: The Uncensored Oral History of Punk,31.19,In stock,4,Medium
Out of Print: City Lights Spotlight No. 14,53.64,In stock,5,High
My Life Next Door (My Life Next Door ),36.39,In stock,5,Medium
Miller's Valley,58.54,In stock,2,High
Man's Search for Meaning,29.48,In stock,3,Medium
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,In stock,2,Medium
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,In stock,3,Low
Les Fleurs du Mal,29.04,In stock,5,Medium
Left Behind (Left Behind #1),40.72,In stock,2,High
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,In stock,5,High
Kierkegaard: A Christian Missionary to Christians,47.13,In stock,1,High
John Vassos: Industrial Design for Modern Life,20.22,In stock,4,Medium
I'll Give You the Sun,56.48,In stock,1,High
I Will Find You,44.21,In stock,1,High
Hystopia: A Novel,21.96,In stock,4,Medium
Howl and Other Poems,40.45,In stock,2,High
History of Beauty,10.29,In stock,4,Low
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,In stock,2,High
Future Shock (Future Shock #1),55.65,In stock,5,High
Ender's Game (The Ender Quintet #1),43.64,In stock,1,High
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,In stock,1,Medium
Death by Leisure: A Cautionary Tale,37.51,In stock,4,Medium
Brilliant Beacons: A History of the American Lighthouse,11.45,In stock,3,Low
Brazen: The Courage to Find the You That's Been Hiding,19.22,In stock,2,Low
Between the World and Me,56.91,In stock,4,High
Being Mortal: Medicine and What Matters in the End,55.06,In stock,4,High
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,In stock,3,Low
32 Yolks,53.63,In stock,2,High
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,In stock,5,High
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,In stock,3,Low
Wildlife of New York: A Five-Borough Coloring Book,22.14,In stock,2,Medium
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,In stock,5,Medium
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,In stock,2,High
Under the Tuscan Sun,37.33,In stock,3,Medium
Toddlers Are A**holes: It's Not Your Fault,25.55,In stock,1,Medium
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,In stock,1,Medium
The Whale,35.96,In stock,4,Medium
The Story of Art,41.14,In stock,4,High
The Origin of Species,10.01,In stock,4,Low
The Great Gatsby,36.05,In stock,4,Medium
The Good Girl,49.03,In stock,3,High
The Glass Castle,16.24,In stock,1,Low
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,In stock,1,Medium
The Drowning Girls,35.67,In stock,3,Medium
The Constant Princess (The Tudor Court #1),16.62,In stock,3,Low
The Bourne Identity (Jason Bourne #1),42.78,In stock,4,High
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,In stock,5,High
The Art Book,32.34,In stock,2,Medium
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,In stock,4,Medium
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,In stock,5,Medium
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,In stock,2,Medium
"Sit, Stay, Love",20.9,In stock,3,Medium
Sister Dear,40.2,In stock,4,High
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,In stock,3,High
"Rich Dad, Poor Dad",51.74,In stock,1,High
Raymie Nightingale,34.41,In stock,2,Medium
Playing from the Heart,32.38,In stock,1,Medium
Nightstruck: A Novel,50.35,In stock,4,High
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,In stock,5,Low
Meternity,43.58,In stock,3,High
Memoirs of a Geisha,49.67,In stock,3,High
Like Never Before (Walker Family #2),28.77,In stock,2,Medium
Life of Pi,13.22,In stock,4,Low
Leave This Song Behind: Teen Poetry at Its Best,51.17,In stock,5,High
King's Folly (The Kinsman Chronicles #1),39.61,In stock,5,Medium
John Adams,57.43,In stock,4,High
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,In stock,4,High
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,In stock,2,Medium
Good in Bed (Cannie Shapiro #1),37.05,In stock,5,Medium
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,In stock,1,Low
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,In stock,3,High
Finding God in the Ruins: How God Redeems Pain,46.64,In stock,2,High
Every Heart a Doorway (Every Heart A Doorway #1),12.16,In stock,5,Low
Delivering the Truth (Quaker Midwife Mystery #1),20.89,In stock,4,Medium
Counted With the Stars (Out from Egypt #1),17.97,In stock,5,Low
"Chronicles, Vol. 1",52.6,In stock,2,High
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,In stock,1,Medium
Benjamin Franklin: An American Life,48.19,In stock,3,High
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,In stock,5,Medium
A Summer In Europe,44.34,In stock,2,High
A Short History of Nearly Everything,52.4,In stock,5,High
A Gathering of Shadows (Shades of Magic #2),44.81,In stock,4,High
The Sound Of Love,57.84,In stock,5,High
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,In stock,2,Medium
The Perks of Being a Wallflower,55.02,In stock,3,High
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,In stock,4,Medium
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,In stock,4,High
The Makings of a Fatherless Child,31.58,In stock,2,Medium
The Joy of Cooking,43.27,In stock,4,High
The Invention of Wings,37.34,In stock,1,Medium
The Hobbit (Middle-Earth Universe),17.8,In stock,5,Low
The Great Railway Bazaar,30.54,In stock,1,Medium
The Golden Compass (His Dark Materials #1),18.77,In stock,1,Low
The God Delusion,46.85,In stock,3,High
The Girl You Left Behind (The Girl You Left Behind #1),15.79,In stock,1,Low
The Fellowship of the Ring (The Lord of the Rings #1),10.27,In stock,2,Low
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,In stock,5,Low
The Barefoot Contessa Cookbook,59.92,In stock,5,High
Tell the Wolves I'm Home,50.96,In stock,2,High
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,In stock,3,Medium
Pride and Prejudice,19.27,In stock,4,Low
Musicophilia: Tales of Music and the Brain,46.58,In stock,1,High
Mere Christianity,48.51,In stock,3,High
Me Before You (Me Before You #1),19.02,In stock,1,Low
In the Woods (Dublin Murder Squad #1),38.38,In stock,2,Medium
In Cold Blood,49.98,In stock,4,High
How to Stop Worrying and Start Living,46.49,In stock,5,High
Give It Back,18.32,In stock,2,Low
"Girl, Interrupted",42.14,In stock,3,High
Fun Home: A Family Tragicomic,56.59,In stock,4,High
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,In stock,4,Medium
Deception Point,40.32,In stock,4,High
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,In stock,3,Medium
Catherine the Great: Portrait of a Woman,58.55,In stock,4,High
Better Homes and Gardens New Cook Book,39.61,In stock,3,Medium
An Unquiet Mind: A Memoir of Moods and Madness,21.3,In stock,3,Medium
A Year in Provence (Provence #1),56.88,In stock,4,High
World Without End (The Pillars of the Earth #2),32.97,In stock,4,Medium
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,In stock,4,High
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,In stock,2,High
Where She Went (If I Stay #2),41.73,In stock,4,High
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,In stock,4,High
Two Summers,14.64,In stock,1,Low
This Is Your Brain on Music: The Science of a Human Obsession,38.4,In stock,1,Medium
The Secret Garden,15.08,In stock,4,Low
The Raven King (The Raven Cycle #4),30.57,In stock,2,Medium
The Raven Boys (The Raven Cycle #1),57.74,In stock,4,High
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,In stock,5,Low
The Metamorphosis,28.58,In stock,1,Medium
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,In stock,5,High
The Little Paris Bookshop,24.73,In stock,3,Medium
The Hiding Place,55.91,In stock,4,High
The Grand Design,13.76,In stock,3,Low
The Firm,45.56,In stock,3,High
The Fault in Our Stars,47.22,In stock,1,High
The False Prince (The Ascendance Trilogy #1),56.0,In stock,5,High
The Expatriates,44.58,In stock,2,High
The Dream Thieves (The Raven Cycle #2),34.5,In stock,1,Medium
The Darkest Corners,11.33,In stock,5,Low
The Crossover,38.77,In stock,4,Medium
The 5th Wave (The 5th Wave #1),11.83,In stock,2,Low
Tell the Wind and Fire,45.51,In stock,3,High
Tell Me Three Things,41.81,In stock,1,High
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,In stock,4,Medium
Siddhartha,34.22,In stock,5,Medium
Shiver (The Wolves of Mercy Falls #1),16.23,In stock,5,Low
Remember Me?,11.48,In stock,3,Low
Red Dragon (Hannibal Lecter #1),23.37,In stock,3,Medium
Peak: Secrets from the New Science of Expertise,16.28,In stock,2,Low
My Mother Was Nuts,31.63,In stock,4,Medium
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,In stock,5,Medium
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,In stock,1,Medium
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,In stock,4,Medium
Logan Kade (Fallen Crest High #5.5),13.12,In stock,2,Low
Last One Home (New Beginnings #1),59.98,In stock,3,High
Killing Floor (Jack Reacher #1),31.49,In stock,4,Medium
Kill the Boy Band,15.52,In stock,5,Low
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,In stock,5,High
If I Stay (If I Stay #1),38.13,In stock,5,Medium
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,In stock,2,Medium
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,In stock,1,Medium
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,In stock,1,Low
Foundation (Foundation (Publication Order) #1),32.42,In stock,1,Medium
Fool Me Once,16.96,In stock,1,Low
Find Her (Detective D.D. Warren #8),22.37,In stock,1,Medium
Evicted: Poverty and Profit in the American City,42.27,In stock,1,High
Drama,38.7,In stock,2,Medium
Dracula the Un-Dead,35.63,In stock,5,Medium
Digital Fortress,58.0,In stock,5,High
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,In stock,1,High
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,In stock,3,Medium
Critique of Pure Reason,20.75,In stock,1,Medium
Booked,17.49,In stock,5,Low
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,In stock,5,Medium
Approval Junkie: Adventures in Caring Too Much,58.81,In stock,5,High
An Abundance of Katherines,10.0,In stock,5,Low
America's War for the Greater Middle East: A Military History,51.22,In stock,2,High
Alight (The Generations Trilogy #2),58.59,In stock,4,High
A Girl's Guide to Moving On (New Beginnings #2),31.3,In stock,1,Medium
A Game of Thrones (A Song of Ice and Fire #1),46.42,In stock,2,High
A Feast for Crows (A Song of Ice and Fire #4),17.21,In stock,4,Low
A Clash of Kings (A Song of Ice and Fire #2),10.79,In stock,3,Low
Vogue Colors A to Z: A Fashion Coloring Book,52.35,In stock,4,High
The Shining (The Shining #1),27.88,In stock,3,Medium
The Pilgrim's Progress,50.26,In stock,2,High
The Perfect Play (Play by Play #1),59.99,In stock,3,High
The Passion of Dolssa,28.32,In stock,5,Medium
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,In stock,3,Medium
The Hunger Games (The Hunger Games #1),29.85,In stock,5,Medium
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,In stock,2,Low
The Gunning of America: Business and the Making of American Gun Culture,16.81,In stock,4,Low
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,In stock,2,Medium
The Demonists (Demonist #1),52.11,In stock,2,High
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,In stock,2,Medium
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,In stock,3,High
The Beast (Black Dagger Brotherhood #14),46.08,In stock,5,High
Some Women,13.73,In stock,5,Low
Shopaholic Ties the Knot (Shopaholic #3),48.39,In stock,5,High
Paper and Fire (The Great Library #2),49.45,In stock,5,High
Outlander (Outlander #1),19.67,In stock,5,Low
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,In stock,3,Low
No One Here Gets Out Alive,20.02,In stock,5,Medium
Night Shift (Night Shift #1-20),12.75,In stock,4,Low
Needful Things,47.51,In stock,4,High
Mockingjay (The Hunger Games #3),20.44,In stock,4,Medium
Misery,34.79,In stock,2,Medium
Little Women (Little Women #1),28.07,In stock,4,Medium
It,25.01,In stock,3,Medium
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,In stock,3,Low
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,In stock,4,Medium
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,In stock,4,Medium
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,In stock,5,High
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,In stock,1,Low
Gone with the Wind,32.49,In stock,3,Medium
God Is Not Great: How Religion Poisons Everything,27.8,In stock,1,Medium
Girl With a Pearl Earring,26.77,In stock,1,Medium
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,In stock,4,High
Far From True (Promise Falls Trilogy #2),34.93,In stock,2,Medium
Dark Lover (Black Dagger Brotherhood #1),12.87,In stock,1,Low
Confessions of a Shopaholic (Shopaholic #1),48.94,In stock,2,High
Changing the Game (Play by Play #2),13.38,In stock,3,Low
Candide,58.63,In stock,3,High
Can You Keep a Secret?,21.94,In stock,1,Medium
Atlas Shrugged,26.58,In stock,5,Medium
Animal Farm,57.22,In stock,3,High
A Walk to Remember,56.43,In stock,1,High
A New Earth: Awakening to Your Life's Purpose,55.65,In stock,5,High
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,In stock,1,Medium
'Salem's Lot,49.56,In stock,4,High
Zero History (Blue Ant #3),34.77,In stock,1,Medium
Wuthering Heights,17.73,In stock,3,Low
World War Z: An Oral History of the Zombie War,21.8,In stock,1,Medium
Wild: From Lost to Found on the Pacific Crest Trail,46.02,In stock,3,High
"Where'd You Go, Bernadette",18.13,In stock,1,Low
When You Are Engulfed in Flames,30.89,In stock,5,Medium
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,In stock,3,Medium
We Are All Completely Beside Ourselves,24.04,In stock,1,Medium
Walk the Edge (Thunder Road #2),32.36,In stock,3,Medium
Voyager (Outlander #3),21.07,In stock,5,Medium
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,In stock,3,High
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,In stock,2,Low
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,In stock,1,High
Under the Banner of Heaven: A Story of Violent Faith,30.0,In stock,1,Medium
Two Boys Kissing,32.74,In stock,2,Medium
Twilight (Twilight #1),41.93,In stock,2,High
Twenties Girl,42.8,In stock,2,High
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,In stock,1,High
Three-Martini Lunch,23.21,In stock,3,Medium
"Thinking, Fast and Slow",21.14,In stock,1,Medium
The Wild Robot,56.07,In stock,3,High
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,In stock,3,Low
The Undomestic Goddess,45.75,In stock,4,High
The Travelers,15.77,In stock,1,Low
The Tipping Point: How Little Things Can Make a Big Difference,10.02,In stock,2,Low
The Thing About Jellyfish,48.77,In stock,1,High
The Stand,57.86,In stock,2,High
The Smitten Kitchen Cookbook,23.59,In stock,1,Medium
The Silkworm (Cormoran Strike #2),23.05,In stock,5,Medium
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,In stock,5,High
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,In stock,4,High
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,In stock,1,Medium
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,In stock,3,High
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,In stock,1,Low
The Rest Is Noise: Listening to the Twentieth Century,34.77,In stock,1,Medium
The Red Tent,35.66,In stock,5,Medium
The Purpose Driven Life: What on Earth Am I Here for?,37.19,In stock,3,Medium
The Purest Hook (Second Circle Tattoos #3),12.25,In stock,1,Low
The Picture of Dorian Gray,29.7,In stock,2,Medium
The Paris Wife,36.8,In stock,3,Medium
The Obsession,45.43,In stock,1,High
The Nightingale,26.26,In stock,4,Medium
The New Guy (and Other Senior Year Distractions),44.92,In stock,3,High
The Nanny Diaries (Nanny #1),52.53,In stock,5,High
The Name of God is Mercy,37.25,In stock,2,Medium
The Maze Runner (The Maze Runner #1),20.93,In stock,1,Medium
The Lover's Dictionary,58.09,In stock,2,High
The Lonely Ones,43.59,In stock,5,High
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,In stock,3,Medium
The Last Painting of Sara de Vos,55.55,In stock,2,High
"The Land of 10,000 Madonnas",29.64,In stock,4,Medium
The Infinities,27.41,In stock,1,Medium
The Husband's Secret,52.51,In stock,5,High
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,In stock,3,High
The Guns of August,14.54,In stock,2,Low
The Guernsey Literary and Potato Peel Pie Society,49.53,In stock,1,High
The Goldfinch,43.58,In stock,3,High
The Giver (The Giver Quartet #1),12.3,In stock,1,Low
The Girl with All the Gifts,49.47,In stock,3,High
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,In stock,2,Medium
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,In stock,1,High
The Exiled,43.45,In stock,3,High
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,In stock,4,Medium
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,In stock,4,Low
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,In stock,5,High
The Devil Wears Prada (The Devil Wears Prada #1),44.29,In stock,1,High
The Demon-Haunted World: Science as a Candle in the Dark,52.25,In stock,4,High
The Day the Crayons Came Home (Crayons),26.33,In stock,5,Medium
The Da Vinci Code (Robert Langdon #2),22.96,In stock,2,Medium
The Cuckoo's Calling (Cormoran Strike #1),19.21,In stock,1,Low
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,In stock,4,Medium
The Complete Poems,41.32,In stock,5,High
The Catcher in the Rye,24.55,In stock,1,Medium
The Cat in the Hat (Beginner Books B-1),16.26,In stock,2,Low
The Case for Christ (Cases for Christianity),47.84,In stock,1,High
The Book Thief,53.49,In stock,2,High
The Book of Basketball: The NBA According to The Sports Guy,44.84,In stock,5,High
The Blind Side: Evolution of a Game,53.71,In stock,5,High
The Autobiography of Malcolm X,23.43,In stock,2,Medium
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,In stock,3,Medium
The Art of Fielding,22.1,In stock,1,Medium
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,In stock,2,Medium
Stiff: The Curious Lives of Human Cadavers,36.74,In stock,3,Medium
Spilled Milk: Based on a True Story,49.51,In stock,1,High
Something Borrowed (Darcy & Rachel #1),48.96,In stock,5,High
Something Blue (Darcy & Rachel #2),54.62,In stock,1,High
Soldier (Talon #3),24.72,In stock,2,Medium
Shopaholic & Baby (Shopaholic #5),46.45,In stock,2,High
Seven Days in the Art World,52.33,In stock,2,High
Seven Brief Lessons on Physics,30.6,In stock,4,Medium
Scarlet (The Lunar Chronicles #2),14.57,In stock,4,Low
Sarah's Key,46.29,In stock,1,High
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,In stock,5,Medium
Running with Scissors,12.91,In stock,4,Low
Rogue Lawyer (Rogue Lawyer #1),50.11,In stock,3,High
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,In stock,4,High
Rework,44.88,In stock,2,High
Reservations for Two,11.1,In stock,3,Low
Red: The True Story of Red Riding Hood,28.54,In stock,3,Medium
Ready Player One,19.07,In stock,4,Low
Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,In stock,1,High
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,In stock,3,High
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,In stock,1,Medium
Packing for Mars: The Curious Science of Life in the Void,56.68,In stock,2,High
Outliers: The Story of Success,14.16,In stock,1,Low
Original Fake,31.45,In stock,3,Medium
Orange Is the New Black,24.61,In stock,2,Medium
One for the Money (Stephanie Plum #1),32.87,In stock,2,Medium
Notes from a Small Island (Notes From a Small Island #1),40.17,In stock,1,High
Night (The Night Trilogy #1),13.51,In stock,1,Low
Neither Here nor There: Travels in Europe,38.95,In stock,3,Medium
Naked,31.69,In stock,3,Medium
Morning Star (Red Rising #3),29.4,In stock,1,Medium
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,In stock,1,High
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,In stock,2,High
Me Talk Pretty One Day,57.6,In stock,2,High
Manuscript Found in Accra,34.98,In stock,2,Medium
Lust & Wonder,11.87,In stock,2,Low
Lila (Gilead #3),12.47,In stock,3,Low
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,In stock,2,Medium
Life Without a Recipe,59.04,In stock,5,High
Life After Life,26.13,In stock,2,Medium
Letter to a Christian Nation,22.2,In stock,1,Medium
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,In stock,1,High
Legend (Legend #1),43.69,In stock,4,High
"Lean In: Women, Work, and the Will to Lead",25.02,In stock,1,Medium
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,In stock,5,High
Lady Renegades (Rebel Belle #3),53.04,In stock,5,High
Jurassic Park (Jurassic Park #1),44.97,In stock,1,High
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,In stock,1,High
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,In stock,3,Medium
Into the Wild,56.7,In stock,5,High
Inferno (Robert Langdon #4),41.0,In stock,5,High
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,In stock,3,Medium
If I Run (If I Run #1),49.97,In stock,4,High
I've Got Your Number,19.69,In stock,1,Low
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,In stock,2,Medium
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,In stock,3,Medium
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,In stock,2,High
House of Leaves,54.89,In stock,1,High
Horrible Bear!,37.52,In stock,2,Medium
Holidays on Ice,51.07,In stock,2,High
Heir to the Sky,44.07,In stock,4,High
Green Eggs and Ham (Beginner Books B-16),10.79,In stock,4,Low
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,In stock,1,High
Gratitude,26.66,In stock,5,Medium
Gone Girl,37.6,In stock,5,Medium
Golden (Heart of Dread #3),42.21,In stock,4,High
Girl in the Blue Coat,46.83,In stock,2,High
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,In stock,2,High
"Friday Night Lights: A Town, a Team, and a Dream",51.22,In stock,3,High
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,In stock,4,Medium
Fifty Shades Freed (Fifty Shades #3),15.36,In stock,5,Low
Fellside,38.62,In stock,1,Medium
Extreme Prey (Lucas Davenport #26),25.4,In stock,3,Medium
Eragon (The Inheritance Cycle #1),43.87,In stock,3,High
Eclipse (Twilight #3),18.74,In stock,1,Low
Dune (Dune #1),54.86,In stock,1,High
Dracula,52.62,In stock,3,High
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,In stock,1,High
Disrupted: My Misadventure in the Start-Up Bubble,15.28,In stock,5,Low
Dead Wake: The Last Crossing of the Lusitania,39.24,In stock,5,Medium
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,In stock,1,Low
Darkfever (Fever #1),56.02,In stock,1,High
